idade;gênero;cod_estado;horas_sono;atividade_extracurricular;tempo_estudo;nota
22;Feminino;19;7.72;Não;3.66;26.23
26;Feminino;19;6.75;Não;3.47;20.43
22;Feminino;19;6.89;Sim;3.8;25.61
19;Masculino;19;6.52;Não;3.6;26.14
29;Masculino;19;7.53;Não;5.61;33.3
23;Feminino;19;6.12;Sim;3.86;24.67
24;Feminino;19;8.06;Sim;2.5;13.2
25;Masculino;19;7.9;Sim;6.5;36.39
18;Feminino;19;6.73;Não;3.26;24.27
22;Masculino;19;5.22;Não;4.6;30.95
25;Masculino;19;6.07;Sim;5.49;32.57
26;Masculino;19;7.0;Sim;5.17;29.3
29;Masculino;19;6.52;Sim;4.04;23.77
23;Feminino;19;6.99;Não;5.09;29.6
24;Feminino;19;6.96;Não;3.92;25.07
21;Masculino;19;5.84;Não;4.13;27.52
22;Feminino;19;6.54;Não;3.32;20.94
18;Feminino;19;7.98;Não;6.57;38.77
25;Feminino;19;7.15;Não;6.94;58.91
26;Feminino;19;5.71;Sim;5.41;30.88
20;Masculino;19;6.84;Não;3.62;23.87
18;Feminino;19;5.79;Não;6.76;41.08
25;Feminino;19;6.95;Não;2.98;22.67
